sample,treatment,day,replicate,pH
pH 6 + 5% glucose_four_D,pH 6 + 5% glucose,4,D,8
pH 6 + 5% glucose_four_E,pH 6 + 5% glucose,4,E,8.22
pH 6 + 5% glucose_four_F,pH 6 + 5% glucose,4,F,8.6
pH 6 + 5% glucose_four_X,pH 6 + 5% glucose,4,X,6
pH 6 + 10% glucose_four_A,pH 6 + 10% glucose,4,A,6.7
pH 6 + 10% glucose_four_B,pH 6 + 10% glucose,4,B,6.3
pH 6 + 10% glucose_four_C,pH 6 + 10% glucose,4,C,5.32
pH 6 + 10% glucose_four_D,pH 6 + 10% glucose,4,D,6.5
pH 6 + 10% glucose_four_E,pH 6 + 10% glucose,4,E,7.6
pH 6 + 10% glucose_four_F,pH 6 + 10% glucose,4,F,6.88
pH 6 + 10% glucose_four_X,pH 6 + 10% glucose,4,X,5.8
pH 8_four_A,pH 8,4,A,8.85
pH 8_four_B,pH 8,4,B,8.9
pH 8_four_C,pH 8,4,C,8.9
pH 8_four_D,pH 8,4,D,8.7
pH 8_four_E,pH 8,4,E,8.76
pH 8_four_F,pH 8,4,F,8.65
pH 8_four_X,pH 8,4,X,7.25
pH 10_four_A,pH 10,4,A,9
pH 10_four_B,pH 10,4,B,9.05
pH 10_four_C,pH 10,4,C,9
pH 10_four_D,pH 10,4,D,8.9
pH 10_four_E,pH 10,4,E,8.9
pH 10_four_F,pH 10,4,F,8.87
pH 10_four_X,pH 10,4,X,8.87
pH 6_five_A,pH 6,5,A,8.5
pH 6_five_B,pH 6,5,B,8.34
pH 6_five_C,pH 6,5,C,8.51
pH 6_five_D,pH 6,5,D,8.3
pH 6_five_E,pH 6,5,E,8.54
pH 6_five_F,pH 6,5,F,8.32
pH 6_five_X,pH 6,5,X,5.61
pH 6 + MES_five_A,pH 6 + MES,5,A,6.05
pH 6 + MES_five_B,pH 6 + MES,5,B,5.92
pH 6 + MES_five_C,pH 6 + MES,5,C,6.06
pH 6 + MES_five_D,pH 6 + MES,5,D,5.95
pH 6 + MES_five_E,pH 6 + MES,5,E,6.33
pH 6 + MES_five_F,pH 6 + MES,5,F,6.56
pH 6 + MES_five_X,pH 6 + MES,5,X,5.39
pH 6 + 5% glucose_five_A,pH 6 + 5% glucose,5,A,8.19
pH 6 + 5% glucose_five_B,pH 6 + 5% glucose,5,B,8.05
pH 6 + 5% glucose_five_C,pH 6 + 5% glucose,5,C,7.22
pH 6 + 5% glucose_five_D,pH 6 + 5% glucose,5,D,8.25
pH 6 + 5% glucose_five_E,pH 6 + 5% glucose,5,E,8.44
pH 6 + 5% glucose_five_F,pH 6 + 5% glucose,5,F,8.42
pH 6 + 5% glucose_five_X,pH 6 + 5% glucose,5,X,5.85
pH 6 + 10% glucose_five_A,pH 6 + 10% glucose,5,A,7.45
pH 6 + 10% glucose_five_B,pH 6 + 10% glucose,5,B,7.69
pH 6 + 10% glucose_five_C,pH 6 + 10% glucose,5,C,6.32
pH 6 + 10% glucose_five_D,pH 6 + 10% glucose,5,D,7.54
pH 6 + 10% glucose_five_E,pH 6 + 10% glucose,5,E,8.18
pH 6 + 10% glucose_five_F,pH 6 + 10% glucose,5,F,7.64
pH 6 + 10% glucose_five_X,pH 6 + 10% glucose,5,X,5.87
pH 8_five_A,pH 8,5,A,8.78
pH 8_five_B,pH 8,5,B,8.86
pH 8_five_C,pH 8,5,C,8.95
pH 8_five_D,pH 8,5,D,8.91
pH 8_five_E,pH 8,5,E,8.65
pH 8_five_F,pH 8,5,F,8.47
pH 8_five_X,pH 8,5,X,6.65
pH 10_five_A,pH 10,5,A,8.93
pH 10_five_B,pH 10,5,B,8.85
pH 10_five_C,pH 10,5,C,8.6
pH 10_five_D,pH 10,5,D,8.65
pH 10_five_E,pH 10,5,E,8.84
pH 10_five_F,pH 10,5,F,8.66
pH 10_five_X,pH 10,5,X,8.2
pH 6_six_A,pH 6,6,A,8.58
pH 6_six_B,pH 6,6,B,8.5
pH 6_six_C,pH 6,6,C,8.74
pH 6_six_D,pH 6,6,D,8.9
pH 6_six_E,pH 6,6,E,8.82
pH 6_six_F,pH 6,6,F,8.65
pH 6_six_X,pH 6,6,X,5.8
pH 6 + MES_six_A,pH 6 + MES,6,A,6.09
pH 6 + MES_six_B,pH 6 + MES,6,B,6.24
pH 6 + MES_six_C,pH 6 + MES,6,C,6.22
pH 6 + MES_six_D,pH 6 + MES,6,D,6.34
pH 6 + MES_six_E,pH 6 + MES,6,E,6.37
pH 6 + MES_six_F,pH 6 + MES,6,F,6.11
pH 6 + MES_six_X,pH 6 + MES,6,X,5.17
pH 6 + 5% glucose_six_A,pH 6 + 5% glucose,6,A,8.3
pH 6 + 5% glucose_six_B,pH 6 + 5% glucose,6,B,8.2
pH 6 + 5% glucose_six_C,pH 6 + 5% glucose,6,C,7.65
pH 6 + 5% glucose_six_D,pH 6 + 5% glucose,6,D,8.31
pH 6 + 5% glucose_six_E,pH 6 + 5% glucose,6,E,8.46
pH 6 + 5% glucose_six_F,pH 6 + 5% glucose,6,F,8.53
pH 6 + 5% glucose_six_X,pH 6 + 5% glucose,6,X,5.73
pH 6 + 10% glucose_six_A,pH 6 + 10% glucose,6,A,8.02
pH 6 + 10% glucose_six_B,pH 6 + 10% glucose,6,B,8
pH 6 + 10% glucose_six_C,pH 6 + 10% glucose,6,C,7.13
pH 6 + 10% glucose_six_D,pH 6 + 10% glucose,6,D,8.26
pH 6 + 10% glucose_six_E,pH 6 + 10% glucose,6,E,8.4
pH 6 + 10% glucose_six_F,pH 6 + 10% glucose,6,F,8.27
pH 6 + 10% glucose_six_X,pH 6 + 10% glucose,6,X,5.85
pH 8_six_A,pH 8,6,A,8.92
pH 8_six_B,pH 8,6,B,9.22
pH 8_six_C,pH 8,6,C,8.9
pH 8_six_D,pH 8,6,D,8.7
pH 8_six_E,pH 8,6,E,9
pH 8_six_F,pH 8,6,F,9
pH 8_six_X,pH 8,6,X,7
pH 10_six_A,pH 10,6,A,9.2
pH 10_six_B,pH 10,6,B,9.2
pH 10_six_C,pH 10,6,C,9.1
pH 10_six_D,pH 10,6,D,8.8
pH 10_six_E,pH 10,6,E,9.1
pH 10_six_F,pH 10,6,F,9.04
pH 10_six_X,pH 10,6,X,8.8
pH 6_seven_A,pH 6,7,A,8.55
pH 6_seven_B,pH 6,7,B,8.82
pH 6_seven_C,pH 6,7,C,8.7
pH 6_seven_D,pH 6,7,D,8.8
pH 6_seven_E,pH 6,7,E,8.78
pH 6_seven_F,pH 6,7,F,8.8
pH 6_seven_X,pH 6,7,X,5.8
pH 6 + MES_seven_A,pH 6 + MES,7,A,6.3
pH 6 + MES_seven_B,pH 6 + MES,7,B,6.2
pH 6 + MES_seven_C,pH 6 + MES,7,C,6.8
pH 6 + MES_seven_D,pH 6 + MES,7,D,6.3
pH 6 + MES_seven_E,pH 6 + MES,7,E,6.3
pH 6 + MES_seven_F,pH 6 + MES,7,F,6.32
pH 6 + MES_seven_X,pH 6 + MES,7,X,5.26
pH 6 + 5% glucose_seven_A,pH 6 + 5% glucose,7,A,8.8
pH 6 + 5% glucose_seven_B,pH 6 + 5% glucose,7,B,8.54
pH 6 + 5% glucose_seven_C,pH 6 + 5% glucose,7,C,8.28
pH 6 + 5% glucose_seven_D,pH 6 + 5% glucose,7,D,8.81
pH 6 + 5% glucose_seven_E,pH 6 + 5% glucose,7,E,8.66
pH 6 + 5% glucose_seven_F,pH 6 + 5% glucose,7,F,8.84
pH 6 + 5% glucose_seven_X,pH 6 + 5% glucose,7,X,6.08
pH 6 + 10% glucose_seven_A,pH 6 + 10% glucose,7,A,8.3
pH 6 + 10% glucose_seven_B,pH 6 + 10% glucose,7,B,8.4
pH 6 + 10% glucose_seven_C,pH 6 + 10% glucose,7,C,7.8
pH 6 + 10% glucose_seven_D,pH 6 + 10% glucose,7,D,NA
pH 6 + 10% glucose_seven_E,pH 6 + 10% glucose,7,E,8.48
pH 6 + 10% glucose_seven_F,pH 6 + 10% glucose,7,F,8.55
pH 6 + 10% glucose_seven_X,pH 6 + 10% glucose,7,X,5.8
pH 8_seven_A,pH 8,7,A,8.97
pH 8_seven_B,pH 8,7,B,9
pH 8_seven_C,pH 8,7,C,9.02
pH 8_seven_D,pH 8,7,D,9.06
pH 8_seven_E,pH 8,7,E,NA
pH 8_seven_F,pH 8,7,F,9.05
pH 8_seven_X,pH 8,7,X,7
pH 10_seven_A,pH 10,7,A,9.21
pH 10_seven_B,pH 10,7,B,9.24
pH 10_seven_C,pH 10,7,C,9.22
pH 10_seven_D,pH 10,7,D,9.26
pH 10_seven_E,pH 10,7,E,9.22
pH 10_seven_F,pH 10,7,F,9.18
pH 10_seven_X,pH 10,7,X,8.75
